epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,73245.7,0.79879,0.91578,1.05121,0.47631,0.48128,0.5047,0.37146,0.9529,1.37744,1.14527,0.000197835,0.000197835,0.000197835
43,73674.1,0.77518,0.9059,1.04395,0.45543,0.52063,0.50421,0.36578,0.93904,1.41642,1.13194,0.000194539,0.000194539,0.000194539
44,74098.3,0.77228,0.87782,1.02242,0.40949,0.56955,0.53185,0.39267,0.94391,1.38075,1.13462,0.000191242,0.000191242,0.000191242
45,74525.3,0.79324,0.89024,1.03798,0.4678,0.5257,0.51113,0.38541,0.92517,1.34668,1.12139,0.000187945,0.000187945,0.000187945
46,74952.7,0.77707,0.8258,1.03598,0.37594,0.5527,0.49876,0.36917,0.96018,1.47268,1.14474,0.000184649,0.000184649,0.000184649
47,75383.5,0.77971,0.88116,1.0464,0.39907,0.53501,0.47306,0.3423,0.96581,1.5548,1.1536,0.000181352,0.000181352,0.000181352
48,75823.5,0.77636,0.88367,1.03545,0.41603,0.5275,0.49273,0.36049,0.9459,1.60013,1.13171,0.000178055,0.000178055,0.000178055
49,76300.8,0.741,0.86869,1.02987,0.42274,0.5113,0.50825,0.3631,0.95748,1.5194,1.14343,0.000174758,0.000174758,0.000174758
50,76759.7,0.7342,0.82905,1.01347,0.43055,0.52055,0.50488,0.36049,0.96685,1.5143,1.14887,0.000171462,0.000171462,0.000171462
51,77210,0.74946,0.85547,1.02555,0.46073,0.54184,0.53394,0.38949,0.95377,1.39698,1.14503,0.000168165,0.000168165,0.000168165
52,77639.4,0.72816,0.82796,1.0232,0.44492,0.59639,0.53444,0.38317,0.89553,1.40277,1.12232,0.000164868,0.000164868,0.000164868
53,78095.2,0.72624,0.81615,1.01269,0.42755,0.54737,0.49151,0.35713,0.89328,1.69221,1.11647,0.000161572,0.000161572,0.000161572
54,78546.8,0.69783,0.79941,1.00185,0.43644,0.52783,0.5084,0.37169,0.90629,1.62697,1.12358,0.000158275,0.000158275,0.000158275
55,78969,0.70317,0.80685,1.01179,0.47168,0.57372,0.53504,0.38452,0.95346,1.53435,1.13963,0.000154978,0.000154978,0.000154978
56,79390.6,0.72072,0.79363,1.0109,0.50064,0.57024,0.53326,0.38746,0.93856,1.50255,1.14167,0.000151682,0.000151682,0.000151682
57,79822.2,0.70224,0.78868,1.02716,0.48633,0.54784,0.52241,0.37643,0.94313,1.58495,1.14374,0.000148385,0.000148385,0.000148385
58,80254.3,0.69619,0.8056,1.00683,0.43182,0.51622,0.48838,0.35844,1.01393,1.73385,1.1764,0.000145088,0.000145088,0.000145088
59,80682.5,0.72488,0.79338,1.01586,0.48492,0.56006,0.53201,0.39335,0.91068,1.57301,1.12903,0.000141791,0.000141791,0.000141791
60,81117.9,0.69234,0.78258,0.9933,0.42708,0.56628,0.5163,0.37788,0.90663,1.60461,1.11905,0.000138495,0.000138495,0.000138495
61,81547.7,0.70064,0.76052,0.9961,0.48886,0.60981,0.57726,0.42529,0.89795,1.3799,1.11158,0.000135198,0.000135198,0.000135198
62,81976.9,0.68625,0.77222,0.98312,0.45649,0.61731,0.55809,0.41147,0.89847,1.38985,1.11237,0.000131901,0.000131901,0.000131901
63,82407.3,0.67282,0.76603,0.98808,0.50358,0.61236,0.55556,0.42377,0.87308,1.39986,1.09586,0.000128605,0.000128605,0.000128605
64,82834.5,0.67679,0.79031,0.98522,0.51671,0.57588,0.55448,0.41224,0.92764,1.36956,1.11876,0.000125308,0.000125308,0.000125308
